"","Relationships","Intrinsic_Motivation","Feedback","Alignment","Wellbeing","Rewards","Happiness","Managers","Peers","Confidence","Autonomy","Mastery","Purpose","FreedomOpinion","QualityFrequency","ActiveListening","ValuesEthics","GoalsRole","TrustVision","StressHealth","DiversityEquality","Environment","Compensation","Recognition","Benefits"
"Relationships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intrinsic_Motivation",0.966123943339529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feedback",1.04015002190935,0.982119421194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alignment",0.945971796610988,1.01293888869168,0.952830863782469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wellbeing",1.01929102945652,1.00127727894226,1.02011756270409,0.994314258288333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rewards",0.912412512658979,0.9602073293787,0.945178064340383,0.983129435114353,0.986831809841795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Happiness",0.627912288761977,0.674790083158386,0.634981813487015,0.667113218981787,0.673971425416444,0.6792128888742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Managers",1.00214282480169,0.776315977098514,0.88436991509778,0.731359158030742,0.845986188106835,0.717222844995575,0.51604178085897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peers",1.03409359188713,0.821928237964375,0.889757106001505,0.809256924724887,0.86739715207949,0.789809660669387,0.529071878911899,0.685416493559868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Confidence",1.08976830580632,0.95855805426025,0.987696002786756,0.960265733300141,0.989144730619308,0.905710179817549,0.612604524030771,0.821671973452387,0.855577424522803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autonomy",0.869993356379366,1.05099709599097,0.896588429739911,0.864211393403471,0.897423823723574,0.809139247654799,0.595287453258469,0.734822334604154,0.720472590585566,0.850821828452673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mastery",0.903229015250078,1.0226206222885,0.924126987816187,0.924885220538935,0.940914203054714,0.935961003900485,0.622270419565046,0.750696070689974,0.757110491006182,0.878939589027254,0.807275368070092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purpose",0.811196366930711,1.03296998745587,0.80656656528299,0.913625459794043,0.836226558846309,0.816266902090436,0.584717049497103,0.594846507912473,0.720350944480279,0.832149165580187,0.771017796162643,0.799651540073208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FreedomOpinion",1.04623628477737,0.95261328786219,1.11376877982427,0.905557813922953,0.994701866543495,0.898301715751402,0.608043427410315,0.887621648525629,0.928217103918734,0.968805418305264,0.88687018900992,0.891305888747777,0.773467631148327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QualityFrequency",1.01496493524158,0.958879276801735,1.08156773763935,0.960632954330831,1.00352619856798,0.946352053495379,0.626484939181184,0.894180150440369,0.832457267433608,0.962387078439087,0.843440767412427,0.929424951991829,0.790425057181577,0.974607074774976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ActiveListening",1.03224296134715,0.967288803670171,1.08672586452506,0.907706147127743,0.999375684282954,0.911494805697394,0.614715211562152,0.86724513817968,0.905390966604063,0.975007981326999,0.915250148222486,0.887829430272235,0.786777496279518,1.01449600248707,0.935746511808082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ValuesEthics",0.942186171162078,0.980524399777415,0.951948058865583,1.06009848827286,0.993127316418723,0.973980047158624,0.651533467791423,0.758566262438363,0.801455417029729,0.932975456224005,0.862339724205505,0.891897285935155,0.863077266059679,0.916581150999437,0.947624240213658,0.917007989195555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GoalsRole",0.891705383729876,0.960717514393162,0.891104990339211,1.05208394169428,0.904248632035126,0.868839423174028,0.599950244160016,0.694498600231908,0.791264288312852,0.877398107915865,0.824756136327033,0.864340338009743,0.878239893033868,0.859546055529228,0.911838440550261,0.846404543251045,0.875085016587533,NA,NA,NA,NA,NA,NA,NA,NA
"TrustVision",0.826826327887333,0.907397250401293,0.834272324952806,1.02222449406404,0.894403931416087,0.91230421371755,0.621172615507982,0.607819443892765,0.688893146421594,0.882660074420982,0.746650239189032,0.840766565747526,0.82966997263089,0.772537629977958,0.83862638019142,0.789687093670627,0.914018947967113,0.830691710503655,NA,NA,NA,NA,NA,NA,NA
"StressHealth",0.989648004791031,0.970869309548454,1.00026977001557,0.971883692748046,1.12321120583975,0.995326956305246,0.64919256133021,0.865525731456871,0.800504691567289,0.953388987175369,0.872399775272188,0.927522101169552,0.79395422868816,0.959424785928335,1.00256869086353,0.974471773083766,0.989227501524457,0.862949486325713,0.875364955436119,NA,NA,NA,NA,NA,NA
