"","unlist(Happy_Summ$validity$vif_items)"
"Relationships.Managers",2.0238849377199
"Relationships.Peers",1.98906318309736
"Relationships.Confidence",2.56885841554256
"Intrinsic_Motivation.Autonomy",2.09485683827727
"Intrinsic_Motivation.Mastery",2.3919987275642
"Intrinsic_Motivation.Purpose",2.13618724477187
"Feedback.FreedomOpinion",3.10039338236636
"Feedback.QualityFrequency",2.71023114685523
"Feedback.ActiveListening",2.95286686838142
"Alignment.ValuesEthics",3.17528866923439
"Alignment.GoalsRole",2.32065948690923
"Alignment.TrustVision",3.06583435432186
"Wellbeing.StressHealth",2.55100643068259
"Wellbeing.DiversityEquality",2.76682600586217
"Wellbeing.Environment",2.48371704202229
"Rewards.Compensation",2.08268186289398
"Rewards.Recognition",1.95126193401955
"Rewards.Benefits",1.73772924254087
"Happiness.avg_happiness",1
"Managers.magers_1",2.43663956670389
"Managers.magers_2",2.3893774315767
"Managers.magers_3",2.02913809793791
"Peers.peers_4",1.64812639349186
"Peers.peers_5",2.00854356399754
"Peers.peers_6",1.85893621981397
"Confidence.confidence_7",1.75054088113493
"Confidence.confidence_8",1.76239758795082
"Confidence.confidence_9",1.96280484034003
"Autonomy.autonomy_10",2.18767069362556
"Autonomy.autonomy_11",1.44654019438668
"Autonomy.autonomy_12",2.03169162307691
"Mastery.mastery_13",2.60206522682515
"Mastery.mastery_14",2.13436872321483
"Mastery.mastery_15",2.33747594434293
"Mastery.mastery_16",2.73126649091918
"Purpose.purpose_17",1.89371584818367
"Purpose.purpose_18",2.05789121113824
"Purpose.purpose_19",2.04341228573152
"FreedomOpinion.freedom_of_opinion_20",1.67130690364187
"FreedomOpinion.freedom_of_opinion_21",1.68934932635137
"FreedomOpinion.freedom_of_opinion_22",1.27649643939528
"QualityFrequency.quality_._frequency_23",1.53616613469911
"QualityFrequency.quality_._frequency_24",1.71539281000625
"QualityFrequency.quality_._frequency_25",1.53482593900569
"ActiveListening.active_listening_26",1.68562683877517
"ActiveListening.active_listening_27",1.53125839661743
"ActiveListening.active_listening_28",1.59104453627491
"ValuesEthics.values_._ethics_29",2.34768189171836
"ValuesEthics.values_._ethics_30",2.01629212564223
"ValuesEthics.values_._ethics_31",1.85807395668265
"GoalsRole.goals_._role_32",1.46038293710086
"GoalsRole.goals_._role_33",1.79312688953448
"GoalsRole.goals_._role_34",1.80073764546232
"TrustVision.trust_._vision_35",3.32669277805965
"TrustVision.trust_._vision_36",1.99405374236737
"TrustVision.trust_._vision_37",2.37303574927122
"TrustVision.trust_._vision_38",3.96397913468762
"StressHealth.stress_._health_39",1.48305267385603
"StressHealth.stress_._health_40",1.48305267385603
"DiversityEquality.diversity_._equality_42",2.17686190440284
"DiversityEquality.diversity_._equality_43",1.64823234429103
"DiversityEquality.diversity_._equality_44",2.34956347823618
"Environment.environment_45",1.94429922441687
"Environment.environment_46",1.52781932580734
"Environment.environment_47",2.13945093876934
"Compensation.compensation_48",2.35283680383556
"Compensation.compensation_49",1.35294573102135
"Compensation.compensation_50",2.34215984185827
"Recognition.recognition_51",1.71031305941758
"Recognition.recognition_52",1.74878349155211
"Recognition.recognition_53",1.97694957646286
"Benefits.benefits_54",1
