"","alpha","rhoA","rhoC","AVE"
"Relationships",0.851766597608359,1,0.904122966888258,0.759595061077774
"Intrinsic_Motivation",0.860851295752301,1,0.912145132690084,0.776185191927593
"Feedback",0.904264893517665,1,0.938078708749696,0.834748476511528
"Alignment",0.896439030235698,1,0.933259480023779,0.823679177338311
"Wellbeing",0.889147613627396,1,0.9294065652145,0.814517234526814
"Rewards",0.828541742188234,1,0.894925548568371,0.73991346290595
"Happiness",1,1,1,1
"Managers",0.8660191931121,0.88381187677986,0.868566540962735,0.690651882538073
"Peers",0.815023089338257,0.818249087481679,0.813206165552829,0.593231519196175
"Confidence",0.816367930163401,0.835474911833926,0.818906349343963,0.604955692346547
"Autonomy",0.800873065520127,0.816594086518945,0.807031196648579,0.584707931304889
"Mastery",0.893424840499235,0.896840965515321,0.893969533127874,0.678934816546699
"Purpose",0.841144453829678,0.842653240661475,0.841350313256352,0.638967515267817
"FreedomOpinion",0.736137984446848,0.795501479170281,0.749098755732735,0.512379671208861
"QualityFrequency",0.770841532384061,0.799876821989312,0.771818785088327,0.53684163801892
"ActiveListening",0.774824604611421,0.815340580666277,0.780813558340668,0.5506968658361
"ValuesEthics",0.843246911666594,0.84536216438586,0.844060257305896,0.643669850884377
"GoalsRole",0.78407828104587,0.790660377714277,0.781066828332606,0.545528407187276
"TrustVision",0.899823043479848,0.90184302680453,0.900861200650333,0.694578158419397
"StressHealth",0.726694179196534,0.733914980381787,0.729340510288565,0.574871197022178
"DiversityEquality",0.833511120663773,0.846100589223654,0.837444858165553,0.633958920607175
"Environment",0.807855274139182,0.822376701400535,0.812470650613577,0.593331526070937
"Compensation",0.796644374115697,0.813968482511667,0.804971179970525,0.581371242429286
"Recognition",0.812749697154099,0.814790485468591,0.81341029466931,0.59267921401092
"Benefits",1,1,1,1
