"","unlist(eNPS_Summ$validity$vif_items)"
"Relationships.Managers",2.08022628026053
"Relationships.Peers",2.01120272868189
"Relationships.Confidence",2.60281309666033
"Intrinsic_Motivation.Autonomy",2.12057250899214
"Intrinsic_Motivation.Mastery",2.33771581072266
"Intrinsic_Motivation.Purpose",2.09610020144988
"Feedback.FreedomOpinion",3.15682048455718
"Feedback.QualityFrequency",2.78029422077946
"Feedback.ActiveListening",2.99886136209959
"Alignment.ValuesEthics",3.16173838809328
"Alignment.GoalsRole",2.44140809628983
"Alignment.TrustVision",3.07385746248098
"Wellbeing.StressHealth",2.61961593475343
"Wellbeing.DiversityEquality",2.86107495172768
"Wellbeing.Environment",2.53815362590211
"Rewards.Compensation",2.05740442011584
"Rewards.Recognition",2.01260023171925
"Rewards.Benefits",1.74985778864973
"eNPS.enps_score",1
"Managers.magers_1",2.4701540508827
"Managers.magers_2",2.45260302349873
"Managers.magers_3",2.047070881515
"Peers.peers_4",1.62828282310253
"Peers.peers_5",1.91609735349963
"Peers.peers_6",1.81992567137686
"Confidence.confidence_7",1.80049894350447
"Confidence.confidence_8",1.80892316461465
"Confidence.confidence_9",2.01785310668036
"Autonomy.autonomy_10",2.17567813023891
"Autonomy.autonomy_11",1.46606242817777
"Autonomy.autonomy_12",2.00518411471932
"Mastery.mastery_13",2.57423764383112
"Mastery.mastery_14",2.00900699139596
"Mastery.mastery_15",2.37631516840663
"Mastery.mastery_16",2.67928025402406
"Purpose.purpose_17",1.76789855769301
"Purpose.purpose_18",2.04200977158746
"Purpose.purpose_19",1.96980644848488
"FreedomOpinion.freedom_of_opinion_20",1.71236535184323
"FreedomOpinion.freedom_of_opinion_21",1.72257690529217
"FreedomOpinion.freedom_of_opinion_22",1.3033209521495
"QualityFrequency.quality_._frequency_23",1.53861500874624
"QualityFrequency.quality_._frequency_24",1.77677728856516
"QualityFrequency.quality_._frequency_25",1.54655397116472
"ActiveListening.active_listening_26",1.73909629551259
"ActiveListening.active_listening_27",1.55923064553766
"ActiveListening.active_listening_28",1.60687521365201
"ValuesEthics.values_._ethics_29",2.32001000885334
"ValuesEthics.values_._ethics_30",2.03604383134781
"ValuesEthics.values_._ethics_31",1.79489553838211
"GoalsRole.goals_._role_32",1.45070730319213
"GoalsRole.goals_._role_33",1.78687672988362
"GoalsRole.goals_._role_34",1.79243569689712
"TrustVision.trust_._vision_35",3.35748735734782
"TrustVision.trust_._vision_36",1.93052195082142
"TrustVision.trust_._vision_37",2.44660302644634
"TrustVision.trust_._vision_38",4.10927644426351
"StressHealth.stress_._health_39",1.47425820665081
"StressHealth.stress_._health_40",1.47425820665082
"DiversityEquality.diversity_._equality_42",2.10537424679327
"DiversityEquality.diversity_._equality_43",1.65347322233141
"DiversityEquality.diversity_._equality_44",2.35463881121401
"Environment.environment_45",1.94536746167858
"Environment.environment_46",1.53787342588603
"Environment.environment_47",2.14032739883398
"Compensation.compensation_48",2.37412028519196
"Compensation.compensation_49",1.35945032211742
"Compensation.compensation_50",2.37400470965113
"Recognition.recognition_51",1.71849111863117
"Recognition.recognition_52",1.7423706771847
"Recognition.recognition_53",1.95742537306674
"Benefits.benefits_54",1
