"","Managers","Peers","Confidence","Autonomy","Mastery","Purpose","Freedom_Opinion","Quality_Freq","Active_Listen","Values_Ethics","Goals_Roles","Trust_Vision","Stress_Health","Diverse_Equal","Environment","Compensation","Recognition","Benefits","enps_score","avg_happiness"
"Managers",1,0.57,0.72,0.63,0.71,0.54,0.75,0.77,0.73,0.7,0.61,0.59,0.65,0.68,0.68,0.55,0.63,0.45,0.55,0.5
"Peers",0.57,1,0.68,0.57,0.62,0.59,0.68,0.64,0.7,0.65,0.6,0.58,0.52,0.68,0.67,0.51,0.61,0.51,0.54,0.46
"Confidence",0.72,0.68,1,0.69,0.77,0.7,0.77,0.8,0.78,0.8,0.75,0.78,0.63,0.79,0.79,0.66,0.72,0.59,0.69,0.56
"Autonomy",0.63,0.57,0.69,1,0.69,0.65,0.7,0.69,0.72,0.74,0.65,0.66,0.59,0.71,0.72,0.56,0.61,0.56,0.63,0.54
"Mastery",0.71,0.62,0.77,0.69,1,0.67,0.76,0.8,0.76,0.79,0.75,0.76,0.64,0.77,0.77,0.73,0.76,0.61,0.69,0.59
"Purpose",0.54,0.59,0.7,0.65,0.67,1,0.62,0.65,0.64,0.73,0.7,0.71,0.48,0.7,0.67,0.56,0.63,0.57,0.64,0.53
"Freedom_Opinion",0.75,0.68,0.77,0.7,0.76,0.62,1,0.78,0.78,0.75,0.69,0.67,0.66,0.78,0.74,0.62,0.7,0.57,0.63,0.55
"Quality_Freq",0.77,0.64,0.8,0.69,0.8,0.65,0.78,1,0.75,0.81,0.76,0.74,0.67,0.78,0.77,0.66,0.73,0.6,0.66,0.56
"Active_Listen",0.73,0.7,0.78,0.72,0.76,0.64,0.78,0.75,1,0.77,0.69,0.69,0.64,0.77,0.76,0.64,0.7,0.58,0.64,0.56
"Values_Ethics",0.7,0.65,0.8,0.74,0.79,0.73,0.75,0.81,0.77,1,0.75,0.78,0.66,0.81,0.77,0.68,0.75,0.66,0.73,0.6
"Goals_Roles",0.61,0.6,0.75,0.65,0.75,0.7,0.69,0.76,0.69,0.75,1,0.75,0.56,0.72,0.73,0.64,0.74,0.59,0.64,0.55
"Trust_Vision",0.59,0.58,0.78,0.66,0.76,0.71,0.67,0.74,0.69,0.78,0.75,1,0.59,0.74,0.76,0.68,0.73,0.66,0.74,0.58
"Stress_Health",0.65,0.52,0.63,0.59,0.64,0.48,0.66,0.67,0.64,0.66,0.56,0.59,1,0.63,0.63,0.57,0.61,0.51,0.55,0.5
"Diverse_Equal",0.68,0.68,0.79,0.71,0.77,0.7,0.78,0.78,0.77,0.81,0.72,0.74,0.63,1,0.75,0.64,0.73,0.6,0.7,0.57
"Environment",0.68,0.67,0.79,0.72,0.77,0.67,0.74,0.77,0.76,0.77,0.73,0.76,0.63,0.75,1,0.65,0.72,0.63,0.69,0.59
"Compensation",0.55,0.51,0.66,0.56,0.73,0.56,0.62,0.66,0.64,0.68,0.64,0.68,0.57,0.64,0.65,1,0.66,0.62,0.62,0.52
"Recognition",0.63,0.61,0.72,0.61,0.76,0.63,0.7,0.73,0.7,0.75,0.74,0.73,0.61,0.73,0.72,0.66,1,0.59,0.65,0.55
"Benefits",0.45,0.51,0.59,0.56,0.61,0.57,0.57,0.6,0.58,0.66,0.59,0.66,0.51,0.6,0.63,0.62,0.59,1,0.66,0.5
"enps_score",0.55,0.54,0.69,0.63,0.69,0.64,0.63,0.66,0.64,0.73,0.64,0.74,0.55,0.7,0.69,0.62,0.65,0.66,1,0.59
"avg_happiness",0.5,0.46,0.56,0.54,0.59,0.53,0.55,0.56,0.56,0.6,0.55,0.58,0.5,0.57,0.59,0.52,0.55,0.5,0.59,1
