,n,mean,sd,se
Managers,6132,4.962,1.055,0.013
Peers,6132,6.378,1.288,0.016
Confidence,6132,7.769,1.708,0.022
Autonomy,6132,6.096,1.189,0.015
Mastery,6135,6.243,1.654,0.021
Purpose,6129,6.486,1.174,0.015
FreedomOpinion,6133,6.114,1.344,0.017
QualityFrequency,6135,5.947,1.382,0.018
ActiveListening,6131,7.295,1.453,0.019
ValuesEthics,6133,6.178,1.351,0.017
GoalsRole,6130,4.661,0.996,0.013
TrustVision,6133,6.412,1.510,0.019
StressHealth,6130,4.912,1.042,0.013
DiversityEquality,6133,6.257,1.430,0.018
Environment,6133,6.064,1.356,0.017
Compensation,6134,5.257,1.560,0.020
Recognition,6133,4.347,1.065,0.014
Benefits,6136,7.599,1.765,0.023
