"","magers_1","magers_2","magers_3","peers_4","peers_5","peers_6","confidence_7","confidence_8","confidence_9","autonomy_10","autonomy_11","autonomy_12","mastery_13","mastery_14","mastery_15","mastery_16","freedom_of_opinion_20","freedom_of_opinion_21","freedom_of_opinion_22","quality_._frequency_23","quality_._frequency_24","quality_._frequency_25","active_listening_26","active_listening_27","active_listening_28","values_._ethics_29","values_._ethics_30","values_._ethics_31","goals_._role_32","goals_._role_33","goals_._role_34","trust_._vision_35","trust_._vision_36","trust_._vision_37","trust_._vision_38","stress_._health_39","stress_._health_40","stress_._health_41_r","environment_45","environment_46","environment_47","compensation_48","compensation_49","compensation_50","recognition_51","recognition_52","recognition_53","benefits_54","enps_score","avg_happiness"
"magers_1",1,0.73,0.66,0.48,0.38,0.35,0.39,0.66,0.42,0.49,0.41,0.45,0.45,0.42,0.6,0.46,0.64,0.47,0.37,0.43,0.64,0.46,0.49,0.59,0.41,0.39,0.41,0.61,0.41,0.37,0.39,0.38,0.33,0.41,0.41,0.42,0.63,0.1,0.49,0.37,0.49,0.36,0.49,0.38,0.5,0.36,0.43,0.35,0.44,0.42
"magers_2",0.73,1,0.67,0.55,0.49,0.47,0.52,0.72,0.6,0.58,0.47,0.54,0.57,0.53,0.74,0.6,0.68,0.63,0.4,0.57,0.75,0.52,0.67,0.6,0.49,0.53,0.5,0.74,0.58,0.46,0.46,0.52,0.46,0.55,0.56,0.51,0.72,0.06,0.62,0.43,0.64,0.48,0.51,0.47,0.57,0.43,0.6,0.45,0.55,0.49
"magers_3",0.66,0.67,1,0.5,0.43,0.34,0.42,0.61,0.41,0.44,0.39,0.41,0.4,0.43,0.57,0.42,0.59,0.45,0.38,0.42,0.63,0.48,0.47,0.58,0.43,0.37,0.4,0.59,0.4,0.4,0.43,0.39,0.33,0.38,0.39,0.39,0.62,0.08,0.47,0.34,0.48,0.35,0.46,0.34,0.48,0.37,0.4,0.34,0.4,0.37
"peers_4",0.48,0.55,0.5,1,0.58,0.54,0.52,0.55,0.5,0.48,0.42,0.48,0.5,0.5,0.58,0.53,0.54,0.53,0.48,0.49,0.55,0.46,0.55,0.5,0.55,0.49,0.47,0.59,0.47,0.51,0.46,0.46,0.45,0.43,0.46,0.46,0.54,0.04,0.58,0.41,0.54,0.4,0.45,0.38,0.53,0.43,0.49,0.45,0.48,0.44
"peers_5",0.38,0.49,0.43,0.58,1,0.65,0.62,0.47,0.47,0.43,0.32,0.44,0.4,0.39,0.52,0.44,0.49,0.51,0.51,0.44,0.52,0.37,0.51,0.42,0.63,0.46,0.41,0.51,0.44,0.44,0.39,0.44,0.38,0.4,0.42,0.4,0.47,0.06,0.56,0.34,0.5,0.39,0.35,0.33,0.43,0.36,0.46,0.4,0.43,0.38
"peers_6",0.35,0.47,0.34,0.54,0.65,1,0.53,0.43,0.51,0.46,0.32,0.46,0.45,0.42,0.52,0.48,0.45,0.55,0.43,0.51,0.48,0.36,0.56,0.36,0.53,0.54,0.45,0.51,0.5,0.42,0.38,0.48,0.44,0.47,0.48,0.48,0.45,0.05,0.55,0.35,0.52,0.43,0.35,0.41,0.43,0.41,0.55,0.48,0.51,0.41
"confidence_7",0.39,0.52,0.42,0.52,0.62,0.53,1,0.57,0.62,0.46,0.39,0.5,0.45,0.45,0.54,0.5,0.49,0.56,0.44,0.51,0.53,0.37,0.56,0.43,0.57,0.52,0.45,0.54,0.52,0.44,0.4,0.52,0.45,0.5,0.51,0.46,0.49,0.05,0.6,0.38,0.56,0.45,0.36,0.41,0.43,0.41,0.52,0.44,0.49,0.41
"confidence_8",0.66,0.72,0.61,0.55,0.47,0.43,0.57,1,0.63,0.59,0.44,0.55,0.56,0.49,0.69,0.6,0.71,0.57,0.37,0.58,0.73,0.48,0.61,0.62,0.5,0.54,0.49,0.74,0.55,0.46,0.48,0.57,0.47,0.52,0.59,0.49,0.72,0.04,0.64,0.41,0.61,0.48,0.5,0.49,0.52,0.41,0.54,0.49,0.57,0.48
"confidence_9",0.42,0.6,0.41,0.5,0.47,0.51,0.62,0.63,1,0.55,0.43,0.57,0.64,0.55,0.64,0.66,0.51,0.68,0.33,0.73,0.57,0.43,0.74,0.44,0.47,0.7,0.63,0.64,0.74,0.47,0.48,0.69,0.65,0.71,0.76,0.64,0.56,0.03,0.64,0.48,0.68,0.58,0.45,0.6,0.54,0.54,0.69,0.58,0.68,0.54
"autonomy_10",0.49,0.58,0.44,0.48,0.43,0.46,0.46,0.59,0.55,1,0.54,0.7,0.53,0.49,0.55,0.58,0.59,0.59,0.33,0.57,0.54,0.39,0.6,0.52,0.52,0.58,0.49,0.64,0.52,0.45,0.46,0.53,0.45,0.5,0.56,0.52,0.6,0.06,0.6,0.43,0.58,0.44,0.41,0.44,0.48,0.39,0.52,0.52,0.58,0.49
