companyId,mean_company_effect,sd_company_effect
1,0.152722309,0.010215279
2,0.2115414,0.041433523
3,0.280984114,0.037012784
4,0.165658747,0.010535865
5,0.186498535,0.025407589
6,-0.01164435,0.017919215
7,0.057467335,0.030505715
8,0.190869216,0.017706301
9,0.166507796,0.025840013
10,0.159273207,0.021291795
11,-0.077799737,0.040830028
12,0.069923229,0.029849327
13,-0.026903532,0.055207057
14,0.1304984,0.02080056
15,-0.044606272,0.019765074
16,-0.346390479,0.021784081
17,0.0474419,0.021620853
18,0.317612053,0.062873591
19,0.763427657,0.024234586
20,-0.270265324,0.020722739
21,-0.083058865,0.016553127
22,-0.060311505,0.016467227
23,-0.246946762,0.010812699
24,-0.938125376,0.033322293
25,-0.213452315,0.019520427
26,0.146118067,0.012530429
27,-0.258215665,0.016664914
28,-0.060843699,0.018666439
29,0.166471663,0.029277042
30,-0.08127845,0.019639785
31,0.168394122,0.015636559
32,-0.163853378,0.035488436
33,0.140281347,0.029048169
34,-0.135657789,0.097502877
35,-0.264668077,0.028144106
36,0.153545211,0.040035706
37,-0.237919119,0.046868056
38,-0.153295613,0.099572952
