companyId,mean_company_effect,sd_company_effect
1,0.113,0.003
2,-0.027,0.010
3,0.185,0.013
4,-0.025,0.004
5,-0.009,0.007
6,-0.148,0.006
7,0.027,0.008
8,-0.008,0.006
9,0.069,0.008
10,0.104,0.006
11,-0.245,0.011
12,-0.133,0.009
13,-0.003,0.015
14,-0.078,0.006
15,0.025,0.007
16,-0.091,0.004
17,-0.105,0.004
18,0.054,0.018
19,-0.076,0.007
20,0.070,0.007
21,-0.026,0.005
22,-0.135,0.006
23,0.091,0.004
24,-0.172,0.008
25,0.041,0.007
26,0.119,0.005
27,0.048,0.008
28,0.051,0.006
29,-0.180,0.012
30,-0.136,0.006
31,0.003,0.004
32,0.187,0.011
33,0.000,0.009
34,0.126,0.021
35,-0.063,0.007
36,0.224,0.011
37,0.122,0.013
38,0.001,0.025
