Second Order Loadings:,,
indicator,construct,Loading
Managers,Relationships,0.830
Peers,Relationships,0.820
Confidence,Relationships,0.959
Autonomy,Intrinsic_Motivation,0.853
Mastery,Intrinsic_Motivation,0.933
Purpose,Intrinsic_Motivation,0.852
FreedomOpinion,Feedback,0.894
QualityFrequency,Feedback,0.929
ActiveListening,Feedback,0.919
ValuesEthics,Alignment,0.947
GoalsRole,Alignment,0.849
TrustVision,Alignment,0.929
StressHealth,Wellbeing,0.877
DiversityEquality,Wellbeing,0.901
Environment,Wellbeing,0.934
Compensation,Rewards,0.857
Recognition,Rewards,0.908
Benefits,Rewards,0.816
avg_happiness,Happiness,1.000
,,
First Order Loadings:,,
magers_1,Managers,0.816
magers_2,Managers,0.952
magers_3,Managers,0.716
peers_4,Peers,0.827
peers_5,Peers,0.704
peers_6,Peers,0.763
confidence_7,Confidence,0.671
confidence_8,Confidence,0.777
confidence_9,Confidence,0.884
autonomy_10,Autonomy,0.820
autonomy_11,Autonomy,0.657
autonomy_12,Autonomy,0.820
mastery_13,Mastery,0.871
mastery_14,Mastery,0.768
mastery_15,Mastery,0.787
mastery_16,Mastery,0.857
purpose_17,Purpose,0.782
purpose_18,Purpose,0.825
purpose_19,Purpose,0.779
freedom_of_opinion_20,FreedomOpinion,0.757
freedom_of_opinion_21,FreedomOpinion,0.857
freedom_of_opinion_22,FreedomOpinion,0.467
quality_._frequency_23,QualityFrequency,0.880
quality_._frequency_24,QualityFrequency,0.698
quality_._frequency_25,QualityFrequency,0.600
active_listening_26,ActiveListening,0.910
active_listening_27,ActiveListening,0.634
active_listening_28,ActiveListening,0.652
values_._ethics_29,ValuesEthics,0.832
values_._ethics_30,ValuesEthics,0.776
values_._ethics_31,ValuesEthics,0.797
goals_._role_32,GoalsRole,0.846
goals_._role_33,GoalsRole,0.658
goals_._role_34,GoalsRole,0.699
trust_._vision_35,TrustVision,0.829
trust_._vision_36,TrustVision,0.804
trust_._vision_37,TrustVision,0.824
trust_._vision_38,TrustVision,0.868
stress_._health_39,StressHealth,0.793
stress_._health_40,StressHealth,0.723
diversity_._equality_42,DiversityEquality,0.821
diversity_._equality_43,DiversityEquality,0.695
diversity_._equality_44,DiversityEquality,0.848
environment_45,Environment,0.820
environment_46,Environment,0.653
environment_47,Environment,0.822
compensation_48,Compensation,0.810
compensation_49,Compensation,0.655
compensation_50,Compensation,0.815
recognition_51,Recognition,0.761
recognition_52,Recognition,0.743
recognition_53,Recognition,0.812
benefits_54,Benefits,1.000
