Second Order Loadings: ,,
indicator,construct,Loading
Managers,Relationships,0.757
Peers,Relationships,0.796
Confidence,Relationships,0.985
Autonomy,Intrinsic_Motivation,0.835
Mastery,Intrinsic_Motivation,0.93
Purpose,Intrinsic_Motivation,0.875
FreedomOpinion,Feedback,0.877
QualityFrequency,Feedback,0.942
ActiveListening,Feedback,0.915
ValuesEthics,Alignment,0.938
GoalsRole,Alignment,0.787
TrustVision,Alignment,0.958
StressHealth,Wellbeing,0.886
DiversityEquality,Wellbeing,0.919
Environment,Wellbeing,0.913
Compensation,Rewards,0.83
Recognition,Rewards,0.867
Benefits,Rewards,0.884
enps_score,eNPS,1
,,
First Order Loadings:,,
magers_1,Managers,0.783
magers_2,Managers,0.992
magers_3,Managers,0.707
peers_4,Peers,0.776
peers_5,Peers,0.694
peers_6,Peers,0.825
confidence_7,Confidence,0.659
confidence_8,Confidence,0.759
confidence_9,Confidence,0.913
autonomy_10,Autonomy,0.857
autonomy_11,Autonomy,0.567
autonomy_12,Autonomy,0.868
mastery_13,Mastery,0.88
mastery_14,Mastery,0.75
mastery_15,Mastery,0.78
mastery_16,Mastery,0.872
purpose_17,Purpose,0.738
purpose_18,Purpose,0.88
purpose_19,Purpose,0.768
freedom_of_opinion_20,FreedomOpinion,0.73
freedom_of_opinion_21,FreedomOpinion,0.923
freedom_of_opinion_22,FreedomOpinion,0.417
quality_._frequency_23,QualityFrequency,0.943
quality_._frequency_24,QualityFrequency,0.687
quality_._frequency_25,QualityFrequency,0.537
active_listening_26,ActiveListening,0.951
active_listening_27,ActiveListening,0.579
active_listening_28,ActiveListening,0.663
values_._ethics_29,ValuesEthics,0.885
values_._ethics_30,ValuesEthics,0.751
values_._ethics_31,ValuesEthics,0.769
goals_._role_32,GoalsRole,0.886
goals_._role_33,GoalsRole,0.648
goals_._role_34,GoalsRole,0.663
trust_._vision_35,TrustVision,0.867
trust_._vision_36,TrustVision,0.792
trust_._vision_37,TrustVision,0.798
trust_._vision_38,TrustVision,0.87
stress_._health_39,StressHealth,0.831
stress_._health_40,StressHealth,0.689
diversity_._equality_42,DiversityEquality,0.88
diversity_._equality_43,DiversityEquality,0.619
diversity_._equality_44,DiversityEquality,0.86
environment_45,Environment,0.857
environment_46,Environment,0.624
environment_47,Environment,0.811
compensation_48,Compensation,0.803
compensation_49,Compensation,0.606
compensation_50,Compensation,0.876
recognition_51,Recognition,0.69
recognition_52,Recognition,0.765
recognition_53,Recognition,0.861
benefits_54,Benefits,1
