Second Order Weights,,
indicator,construct,weight
Managers,Relationships,0.261
Peers,Relationships,0.246
Confidence,Relationships,0.606
Autonomy,Intrinsic_Motivation,0.303
Mastery,Intrinsic_Motivation,0.515
Purpose,Intrinsic_Motivation,0.306
FreedomOpinion,Feedback,0.249
QualityFrequency,Feedback,0.450
ActiveListening,Feedback,0.391
ValuesEthics,Alignment,0.472
GoalsRole,Alignment,0.224
TrustVision,Alignment,0.391
StressHealth,Wellbeing,0.282
DiversityEquality,Wellbeing,0.331
Environment,Wellbeing,0.486
Compensation,Rewards,0.322
Recognition,Rewards,0.503
Benefits,Rewards,0.328
avg_happiness,Happiness,1.000
,,
First Order Weights,,
magers_1,Managers,0.368
magers_2,Managers,0.430
magers_3,Managers,0.323
peers_4,Peers,0.423
peers_5,Peers,0.360
peers_6,Peers,0.391
confidence_7,Confidence,0.334
confidence_8,Confidence,0.387
confidence_9,Confidence,0.440
autonomy_10,Autonomy,0.418
autonomy_11,Autonomy,0.335
autonomy_12,Autonomy,0.418
mastery_13,Mastery,0.305
mastery_14,Mastery,0.269
mastery_15,Mastery,0.276
mastery_16,Mastery,0.300
purpose_17,Purpose,0.377
purpose_18,Purpose,0.398
purpose_19,Purpose,0.376
freedom_of_opinion_20,FreedomOpinion,0.442
freedom_of_opinion_21,FreedomOpinion,0.500
freedom_of_opinion_22,FreedomOpinion,0.272
quality_._frequency_23,QualityFrequency,0.486
quality_._frequency_24,QualityFrequency,0.385
quality_._frequency_25,QualityFrequency,0.331
active_listening_26,ActiveListening,0.496
active_listening_27,ActiveListening,0.346
active_listening_28,ActiveListening,0.355
values_._ethics_29,ValuesEthics,0.396
values_._ethics_30,ValuesEthics,0.370
values_._ethics_31,ValuesEthics,0.380
goals_._role_32,GoalsRole,0.460
goals_._role_33,GoalsRole,0.358
goals_._role_34,GoalsRole,0.380
trust_._vision_35,TrustVision,0.284
trust_._vision_36,TrustVision,0.276
trust_._vision_37,TrustVision,0.283
trust_._vision_38,TrustVision,0.298
stress_._health_39,StressHealth,0.590
stress_._health_40,StressHealth,0.538
diversity_._equality_42,DiversityEquality,0.401
diversity_._equality_43,DiversityEquality,0.339
diversity_._equality_44,DiversityEquality,0.414
environment_45,Environment,0.419
environment_46,Environment,0.334
environment_47,Environment,0.420
compensation_48,Compensation,0.418
compensation_49,Compensation,0.338
compensation_50,Compensation,0.421
recognition_51,Recognition,0.384
recognition_52,Recognition,0.375
recognition_53,Recognition,0.410
benefits_54,Benefits,1.000
