Second Order Weights:,,
indicator,construct,weight
Managers,Relationships,0.092
Peers,Relationships,0.203
Confidence,Relationships,0.780
Autonomy,Intrinsic_Motivation,0.249
Mastery,Intrinsic_Motivation,0.505
Purpose,Intrinsic_Motivation,0.368
FreedomOpinion,Feedback,0.186
QualityFrequency,Feedback,0.508
ActiveListening,Feedback,0.391
ValuesEthics,Alignment,0.456
GoalsRole,Alignment,0.049
TrustVision,Alignment,0.557
StressHealth,Wellbeing,0.308
DiversityEquality,Wellbeing,0.395
Environment,Wellbeing,0.398
Compensation,Rewards,0.260
Recognition,Rewards,0.411
Benefits,Rewards,0.485
enps_score,eNPS,1.000
,,
First Order Weights:,,
magers_1,Managers,0.354
magers_2,Managers,0.448
magers_3,Managers,0.319
peers_4,Peers,0.397
peers_5,Peers,0.355
peers_6,Peers,0.422
confidence_7,Confidence,0.328
confidence_8,Confidence,0.378
confidence_9,Confidence,0.455
autonomy_10,Autonomy,0.436
autonomy_11,Autonomy,0.288
autonomy_12,Autonomy,0.441
mastery_13,Mastery,0.308
mastery_14,Mastery,0.263
mastery_15,Mastery,0.273
mastery_16,Mastery,0.305
purpose_17,Purpose,0.356
purpose_18,Purpose,0.424
purpose_19,Purpose,0.370
freedom_of_opinion_20,FreedomOpinion,0.425
freedom_of_opinion_21,FreedomOpinion,0.538
freedom_of_opinion_22,FreedomOpinion,0.243
quality_._frequency_23,QualityFrequency,0.521
quality_._frequency_24,QualityFrequency,0.380
quality_._frequency_25,QualityFrequency,0.297
active_listening_26,ActiveListening,0.518
active_listening_27,ActiveListening,0.315
active_listening_28,ActiveListening,0.361
values_._ethics_29,ValuesEthics,0.421
values_._ethics_30,ValuesEthics,0.357
values_._ethics_31,ValuesEthics,0.366
goals_._role_32,GoalsRole,0.483
goals_._role_33,GoalsRole,0.353
goals_._role_34,GoalsRole,0.362
trust_._vision_35,TrustVision,0.297
trust_._vision_36,TrustVision,0.271
trust_._vision_37,TrustVision,0.273
trust_._vision_38,TrustVision,0.298
stress_._health_39,StressHealth,0.616
stress_._health_40,StressHealth,0.511
diversity_._equality_42,DiversityEquality,0.429
diversity_._equality_43,DiversityEquality,0.302
diversity_._equality_44,DiversityEquality,0.419
environment_45,Environment,0.438
environment_46,Environment,0.319
environment_47,Environment,0.414
compensation_48,Compensation,0.412
compensation_49,Compensation,0.311
compensation_50,Compensation,0.449
recognition_51,Recognition,0.348
recognition_52,Recognition,0.386
recognition_53,Recognition,0.434
benefits_54,Benefits,1.000
